Date,Time,Taxi_Vendor
2014-03-01,554906,554906
2014-03-02,462065,462065
2014-03-03,463982,463982
2014-03-04,499349,499349
2014-03-05,508381,508381
2014-03-06,531137,531137
2014-03-07,547177,547177
2014-03-08,551574,551574
2014-03-09,473451,473451
2014-03-10,442200,442200
2014-03-11,456983,456983
2014-03-12,483326,483326
2014-03-13,549191,549191
2014-03-14,539176,539176
2014-03-15,547916,547916
2014-03-16,485008,485008
2014-03-17,433321,433321
2014-03-18,469975,469975
2014-03-19,489567,489567
2014-03-20,500070,500070
2014-03-21,516535,516535
2014-03-22,534441,534441
2014-03-23,480744,480744
2014-03-24,443322,443322
2014-03-25,461531,461531
2014-03-26,502757,502757
2014-03-27,507907,507907
2014-03-28,522404,522404
2014-03-29,574530,574530
2014-03-30,462771,462771
2014-03-31,432430,432430
