Date,Time,Taxi_Vendor
2014-02-01,533783,533783
2014-02-02,464225,464225
2014-02-03,382517,382517
2014-02-04,454444,454444
2014-02-05,413853,413853
2014-02-06,478790,478790
2014-02-07,512218,512218
2014-02-08,549967,549967
2014-02-09,466492,466492
2014-02-10,435911,435911
2014-02-11,489373,489373
2014-02-12,481968,481968
2014-02-13,326187,326187
2014-02-14,472229,472229
2014-02-15,491375,491375
2014-02-16,457332,457332
2014-02-17,391723,391723
2014-02-18,419655,419655
2014-02-19,446126,446126
2014-02-20,466020,466020
2014-02-21,503515,503515
2014-02-22,522080,522080
2014-02-23,442458,442458
2014-02-24,439480,439480
2014-02-25,472383,472383
2014-02-26,492982,492982
2014-02-27,512342,512342
2014-02-28,544363,544363
