Date,Time,Taxi_Vendor
2014-06-01,435163,435163
2014-06-02,428122,428122
2014-06-03,462670,462670
2014-06-04,482348,482348
2014-06-05,501694,501694
2014-06-06,495170,495170
2014-06-07,504156,504156
2014-06-08,434856,434856
2014-06-09,440162,440162
2014-06-10,463614,463614
2014-06-11,477219,477219
2014-06-12,498857,498857
2014-06-13,496516,496516
2014-06-14,487611,487611
2014-06-15,414417,414417
2014-06-16,423175,423175
2014-06-17,449368,449368
2014-06-18,472667,472667
2014-06-19,487104,487104
2014-06-20,485548,485548
2014-06-21,473409,473409
2014-06-22,430757,430757
2014-06-23,413205,413205
2014-06-24,441878,441878
2014-06-25,468089,468089
2014-06-26,486884,486884
2014-06-27,474158,474158
2014-06-28,472015,472015
2014-06-29,402696,402696
2014-06-30,409501,409501
