Date,Time,Taxi_Vendor
2014-05-01,492691,492691
2014-05-02,516985,516985
2014-05-03,544063,544063
2014-05-04,475789,475789
2014-05-05,461342,461342
2014-05-06,483245,483245
2014-05-07,484552,484552
2014-05-08,508104,508104
2014-05-09,523936,523936
2014-05-10,527537,527537
2014-05-11,454120,454120
2014-05-12,437492,437492
2014-05-13,473044,473044
2014-05-14,466666,466666
2014-05-15,495003,495003
2014-05-16,515834,515834
2014-05-17,506831,506831
2014-05-18,473932,473932
2014-05-19,452923,452923
2014-05-20,472199,472199
2014-05-21,483979,483979
2014-05-22,489262,489262
2014-05-23,495859,495859
2014-05-24,413311,413311
2014-05-25,378073,378073
2014-05-26,336173,336173
2014-05-27,432969,432969
2014-05-28,472420,472420
2014-05-29,489739,489739
2014-05-30,503977,503977
2014-05-31,511991,511991
