Date,Time,Taxi_Vendor
2015-04-01,440246,440246
2015-04-02,444300,444300
2015-04-03,444077,444077
2015-04-04,440170,440170
2015-04-05,377462,377462
2015-04-06,375754,375754
2015-04-07,425909,425909
2015-04-08,443492,443492
2015-04-09,460476,460476
2015-04-10,468077,468077
2015-04-11,473730,473730
2015-04-12,407342,407342
2015-04-13,377158,377158
2015-04-14,411892,411892
2015-04-15,427092,427092
2015-04-16,452157,452157
2015-04-17,469283,469283
2015-04-18,500928,500928
2015-04-19,445785,445785
2015-04-20,397259,397259
2015-04-21,426137,426137
2015-04-22,432491,432491
2015-04-23,463486,463486
2015-04-24,474068,474068
2015-04-25,489474,489474
2015-04-26,424608,424608
2015-04-27,393526,393526
2015-04-28,411771,411771
2015-04-29,427507,427507
2015-04-30,446132,446132
